,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Vilyuysk,24,RU,1512355504,43,63.76,121.62,-27.64,2.71
1,Port Alfred,24,ZA,1512355131,100,-33.59,26.89,62.09,3.27
2,Pangkalanbuun,12,ID,1512355281,96,-2.68,111.62,85.54,3.94
3,Georgetown,56,GY,1512352800,88,6.8,-58.16,78.8,6.93
4,Esperance,44,AU,1512354820,38,-33.87,121.9,82.16,14.12
5,Coihaique,0,CL,1512352800,52,-45.58,-72.07,64.4,3.36
6,Paulo Afonso,0,BR,1512355507,62,-9.41,-38.21,78.16,13.44
7,Qaanaaq,76,GL,1512355120,87,77.48,-69.36,14.57,3.71
8,Tateyama,75,JP,1512352800,62,34.98,139.87,55.4,6.93
9,Mangrol,88,IN,1512355508,78,21.12,70.12,73.57,13.56
10,Esperance,44,AU,1512354820,38,-33.87,121.9,82.16,14.12
11,Lagoa,76,PT,1512355337,95,39.05,-27.98,67.04,19.82
12,Necochea,0,AR,1512355509,93,-38.55,-58.74,51.29,9.42
13,Atuona,0,PF,1512355071,98,-9.8,-139.03,81.44,17.81
14,Katsuura,75,JP,1512352800,50,35.13,140.3,53.6,4.7
15,Madang,68,PG,1512355510,100,-5.22,145.8,77.93,0.69
16,Hasaki,75,JP,1512352800,62,35.73,140.83,55.4,9.17
17,Kodiak,90,US,1512354780,87,57.79,-152.41,42.8,16.11
18,Souillac,75,MU,1512352800,78,-20.52,57.52,78.8,8.05
19,Ostrovnoy,48,RU,1512355513,88,68.05,39.51,27.04,11.65
20,Ixtapa,75,MX,1512351840,88,20.7,-105.2,77.0,1.92
21,Qaanaaq,76,GL,1512355120,87,77.48,-69.36,14.57,3.71
22,Kuching,75,MY,1512352800,83,1.55,110.33,84.2,2.24
23,Port-Gentil,24,GA,1512355514,100,-0.72,8.78,77.44,3.71
24,Yarmouth,90,US,1512353700,86,41.71,-70.23,42.8,4.7
25,Atuona,0,PF,1512355071,98,-9.8,-139.03,81.44,17.81
26,Busselton,48,AU,1512355106,94,-33.65,115.33,69.83,4.61
27,Rikitea,88,PF,1512355067,100,-23.12,-134.97,77.35,11.77
28,Takestan,0,IR,1512352800,74,36.07,49.7,28.4,4.7
29,Kodiak,90,US,1512354780,87,57.79,-152.41,42.8,16.11
30,Avarua,75,CK,1512352800,83,-21.21,-159.78,80.6,10.29
31,Provideniya,75,RU,1512352800,100,64.38,-173.3,32.0,13.42
32,Novoagansk,88,RU,1512355518,81,61.94,76.66,25.37,9.42
33,Punta Arenas,0,CL,1512352800,66,-53.15,-70.92,55.4,16.11
34,Rikitea,88,PF,1512355067,100,-23.12,-134.97,77.35,11.77
35,Albany,40,US,1512352440,92,42.65,-73.76,35.6,2.37
36,Provideniya,75,RU,1512352800,100,64.38,-173.3,32.0,13.42
37,Albany,40,US,1512352440,92,42.65,-73.76,35.6,2.37
38,Severo-Kurilsk,56,RU,1512355039,100,50.68,156.12,25.46,15.01
39,Vaini,75,TO,1512352800,79,-21.2,-175.2,84.2,17.22
40,Pimentel,76,PE,1512352800,82,-6.84,-79.93,66.2,17.22
41,Vestmannaeyjar,92,IS,1512355522,98,63.44,-20.27,43.96,14.79
42,Nome,20,US,1512352380,100,64.5,-165.41,26.6,12.75
43,Hilo,75,US,1512352560,60,19.73,-155.09,75.2,5.82
44,Jamestown,1,US,1512352560,74,42.1,-79.24,37.4,4.7
45,Butaritari,56,KI,1512355108,98,3.07,172.79,84.55,17.36
46,Castro,36,BR,1512355069,98,-24.79,-50.01,60.83,4.05
47,Punta Arenas,0,CL,1512352800,66,-53.15,-70.92,55.4,16.11
48,Tual,68,ID,1512355525,100,-5.67,132.75,81.67,6.17
49,Bluff,88,NZ,1512355105,76,-46.6,168.33,68.71,15.01
50,Khatanga,0,RU,1512355526,26,71.97,102.5,-18.15,9.98
51,Cape Town,0,ZA,1512352800,72,-33.93,18.42,60.8,12.75
52,Hermanus,48,ZA,1512355112,91,-34.42,19.23,52.51,3.49
53,Rikitea,88,PF,1512355067,100,-23.12,-134.97,77.35,11.77
54,Rikitea,88,PF,1512355067,100,-23.12,-134.97,77.35,11.77
55,Arraial do Cabo,90,BR,1512352800,94,-22.97,-42.03,73.4,8.05
56,Kapaa,40,US,1512352560,69,22.08,-159.32,78.8,14.99
57,Bluff,88,NZ,1512355105,76,-46.6,168.33,68.71,15.01
58,Kapaa,40,US,1512352560,69,22.08,-159.32,78.8,14.99
59,Longyearbyen,40,SJ,1512352200,80,78.22,15.64,30.2,12.75
60,Majene,0,ID,1512355529,94,-3.54,118.97,85.49,4.72
61,Kodiak,90,US,1512354780,87,57.79,-152.41,42.8,16.11
62,Kapaa,40,US,1512352560,69,22.08,-159.32,78.8,14.99
63,Alta Floresta,24,BR,1512355530,93,-9.88,-56.09,74.92,1.7
64,New Norfolk,75,AU,1512352800,41,-42.78,147.06,60.8,17.22
65,Ancud,12,CL,1512355368,88,-41.87,-73.82,55.34,2.59
66,Bourail,92,NC,1512355531,100,-21.57,165.48,71.63,1.48
67,Bethel,1,US,1512352560,100,41.37,-73.41,44.6,2.04
68,Narsaq,0,GL,1512352200,86,60.92,-46.05,28.4,4.7
69,San Policarpo,80,PH,1512355093,92,12.18,125.51,82.75,7.74
70,Mahebourg,75,MU,1512352800,78,-20.41,57.7,78.8,8.05
71,Hithadhoo,80,MV,1512355088,100,-0.6,73.08,80.05,11.65
72,Kytmanovo,68,RU,1512355534,80,53.46,85.45,8.54,9.42
73,Esperance,44,AU,1512354820,38,-33.87,121.9,82.16,14.12
74,Rikitea,88,PF,1512355067,100,-23.12,-134.97,77.35,11.77
75,Yellowknife,90,CA,1512352800,75,62.46,-114.35,-13.01,2.24
76,Lodwar,0,KE,1512355535,59,3.12,35.6,71.27,6.85
77,Le Port,20,RE,1512352800,65,-20.94,55.29,78.8,19.46
78,Ipora,64,BR,1512355536,96,-16.44,-51.12,70.37,2.93
79,Atuona,0,PF,1512355071,98,-9.8,-139.03,81.44,17.81
80,Greencastle,1,US,1512353700,70,39.64,-86.86,48.2,6.93
81,Sao Filipe,0,CV,1512355140,97,14.9,-24.5,76.94,16.58
82,Maragogi,92,BR,1512355501,97,-9.01,-35.22,75.86,7.18
83,Roma,75,IT,1512354000,86,41.89,12.48,42.8,8.05
84,Albany,40,US,1512352440,92,42.65,-73.76,35.6,2.37
85,Vaini,75,TO,1512352800,79,-21.2,-175.2,84.2,17.22
